game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.0331067900697235,0.030175543972291052,0.0025466761592095,0.0023211956901762346,13,13,324,319,50,51,3.0,3.0,3,0.0
1,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.0331904579361435,0.030285042041214183,0.0025531121489341157,0.002329618618554937,13,13,324,319,50,51,3.0,3.0,3,0.0
2,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03304104192648083,0.029889834055211395,0.0025416186097292947,0.0022992180042470303,13,13,324,319,50,51,3.0,3.0,3,0.0
3,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.033694873040076345,0.029653457953827456,0.0025919133107751035,0.0022810352272174964,13,13,324,319,50,51,3.0,3.0,3,0.0
4,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03307600403786637,0.029730081994784996,0.0025443080029127975,0.0022869293842142304,13,13,324,319,50,51,3.0,3.0,3,0.0
5,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.032686252117855474,0.029607294010929763,0.0025143270859888825,0.002277484154686905,13,13,324,319,50,51,3.0,3.0,3,0.0
6,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03262445700238459,0.02963033496052958,0.002509573615568045,0.0022792565354253524,13,13,324,319,50,51,3.0,3.0,3,0.0
7,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03293816605582833,0.02961804100777954,0.002533705081217564,0.002278310846752272,13,13,324,319,50,51,3.0,3.0,3,0.0
8,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03278937199502252,0.02981608294066973,0.0025222593842325015,0.0022935448415899794,13,13,324,319,50,51,3.0,3.0,3,0.0
9,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03297125003882684,0.029704710032092407,0.00253625000298668,0.002284977694776339,13,13,324,319,50,51,3.0,3.0,3,0.0
10,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03278724997653626,0.029722416016738862,0.002522096152041251,0.002286339693595297,13,13,324,319,50,51,3.0,3.0,3,0.0
11,minimax_h1,minimax_h2,A,B,0,A,34,14,20,26,13,13,0.03288304203306325,0.030000419006682932,0.002529464771774096,0.0023077245389756104,13,13,324,319,50,51,3.0,3.0,3,0.0
