game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00033933305530808866,0.0851167100481689,2.120831595675554e-05,0.005674447336544593,0,15,0,455,0,75,0.0,3.0,3,0.0
1,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00022387501667253673,0.08595746103674173,1.3992188542033546e-05,0.005730497402449449,0,15,0,455,0,75,0.0,3.0,3,0.0
2,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00024904104066081345,0.0851691649586428,1.556506504130084e-05,0.005677944330576186,0,15,0,455,0,75,0.0,3.0,3,0.0
3,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002313719887752086,0.08529025103780441,1.4460749298450537e-05,0.0056860167358536275,0,15,0,455,0,75,0.0,3.0,3,0.0
4,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00024175105500034988,0.08383695702650584,1.5109440937521867e-05,0.005589130468433723,0,15,0,455,0,75,0.0,3.0,3,0.0
5,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002240410540252924,0.0855090830300469,1.4002565876580775e-05,0.005700605535336459,0,15,0,455,0,75,0.0,3.0,3,0.0
6,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002138339332304895,0.08406287492834963,1.3364620826905593e-05,0.005604191661889976,0,15,0,455,0,75,0.0,3.0,3,0.0
7,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0003030030056834221,0.08631579106440768,1.893768785521388e-05,0.005754386070960512,0,15,0,455,0,75,0.0,3.0,3,0.0
8,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002361670194659382,0.08573637195513584,1.4760438716621138e-05,0.005715758130342389,0,15,0,455,0,75,0.0,3.0,3,0.0
9,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00027699803467839956,0.08502937492448837,1.7312377167399973e-05,0.005668624994965891,0,15,0,455,0,75,0.0,3.0,3,0.0
10,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00023374901502393186,0.08432862503104843,1.4609313438995741e-05,0.005621908335403229,0,15,0,455,0,75,0.0,3.0,3,0.0
11,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0003440420550759882,0.08491958302329294,2.150262844224926e-05,0.005661305534886196,0,15,0,455,0,75,0.0,3.0,3,0.0
12,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00023316495935432613,0.08609412499936298,1.4572809959645383e-05,0.005739608333290865,0,15,0,455,0,75,0.0,3.0,3,0.0
13,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002369159774389118,0.0854456240485888,1.4807248589931987e-05,0.0056963749365725866,0,15,0,455,0,75,0.0,3.0,3,0.0
14,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00026237498968839645,0.12183558099786751,1.639843685552478e-05,0.0081223720665245,0,15,0,455,0,75,0.0,3.0,3,0.0
15,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00022825098130851984,0.08502449805382639,1.426568633178249e-05,0.005668299870255093,0,15,0,455,0,75,0.0,3.0,3,0.0
16,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00023475103080272675,0.08494070812594146,1.4671939425170422e-05,0.005662713875062763,0,15,0,455,0,75,0.0,3.0,3,0.0
17,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00023670800146646798,0.08402370807016268,1.4794250091654249e-05,0.005601580538010845,0,15,0,455,0,75,0.0,3.0,3,0.0
18,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00022404096671380103,0.08509145904099569,1.4002560419612564e-05,0.005672763936066379,0,15,0,455,0,75,0.0,3.0,3,0.0
19,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00028296009986661375,0.0847821670176927,1.768500624166336e-05,0.00565214446784618,0,15,0,455,0,75,0.0,3.0,3,0.0
