game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,qlearning,random,A,B,0,A,29,19,10,37,19,18,0.00034320895792916417,0.00032178903347812593,1.806362936469285e-05,1.7877168526562553e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
1,qlearning,random,A,B,1,B,22,26,-4,36,18,18,0.00034966805833391845,0.0002545819734223187,1.9426003240773247e-05,1.4143442967906594e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
2,qlearning,random,A,B,0,A,36,12,24,49,25,24,0.00047770689707249403,0.0003962088958360255,1.910827588289976e-05,1.6508703993167728e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
3,qlearning,random,A,B,0,A,36,12,24,41,21,20,0.0003229560097679496,0.00020562499412335455,1.53788576079976e-05,1.0281249706167727e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
4,qlearning,random,A,B,0,A,28,20,8,43,22,21,0.0005211240495555103,0.0003478759899735451,2.368745679797774e-05,1.6565523332073574e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
5,qlearning,random,A,B,0,A,26,22,4,29,15,14,0.0002460849063936621,0.0002470419858582318,1.640566042624414e-05,1.764585613273084e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
6,qlearning,random,A,B,1,B,22,26,-4,33,17,16,0.00041708306525833905,0.00027029099874198437,2.4534297956372885e-05,1.6893187421374023e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
7,qlearning,random,A,B,1,B,22,26,-4,33,17,16,0.00028253986965864897,0.0002512909995857626,1.6619992332861703e-05,1.5705687474110164e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
8,qlearning,random,A,B,0,A,29,19,10,36,18,18,0.00028962400392629206,0.0003083320043515414,1.609022244034956e-05,1.7129555797307854e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
9,qlearning,random,A,B,0,A,26,22,4,45,23,22,0.00030608801171183586,0.0002627939102239907,1.3308174422253733e-05,1.1945177737454122e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
10,qlearning,random,A,B,0,A,45,3,42,15,8,7,0.00023983302526175976,0.0001359570014756173,2.997912815771997e-05,1.9422428782231043e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
11,qlearning,random,A,B,1,B,20,28,-8,18,9,9,0.00016166697605513036,0.000132125016534701,1.796299733945893e-05,1.4680557392744555e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
12,qlearning,random,A,B,1,B,23,25,-2,41,21,20,0.00041341196629218757,0.0002697888412512839,1.968628410915179e-05,1.3489442062564195e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
13,qlearning,random,A,B,1,B,21,27,-6,35,18,17,0.0005018769588787109,0.00033570907544344664,2.788205327103949e-05,1.974759267314392e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
14,qlearning,random,A,B,1,B,23,25,-2,45,23,22,0.00036433397326618433,0.00027782993856817484,1.5840607533312362e-05,1.2628633571280675e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
15,qlearning,random,A,B,1,B,14,34,-20,27,14,13,0.0002091669593937695,0.00014112601638771594,1.4940497099554964e-05,1.0855847414439688e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
16,qlearning,random,A,B,0,A,30,18,12,39,20,19,0.0004454989393707365,0.0003985821094829589,2.2274946968536823e-05,2.0978005762260994e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
17,qlearning,random,A,B,0,A,33,15,18,27,14,13,0.00032329204259440303,0.00019595702178776264,2.3092288756743073e-05,1.5073617060597126e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
18,qlearning,random,A,B,0,A,27,21,6,51,26,25,0.0004903339431621134,0.0004318709543440491,1.885899781392744e-05,1.7274838173761965e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
19,qlearning,random,A,B,1,B,23,25,-2,35,18,17,0.00042012406629510224,0.00034262402914464474,2.3340225905283456e-05,2.015435465556734e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
20,qlearning,random,A,B,0,A,25,23,2,27,14,13,0.0001794569834601134,0.0001447899849154055,1.2818355961436672e-05,1.1137691147338886e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
21,qlearning,random,A,B,0,A,28,20,8,40,20,20,0.0004588729643728584,0.0004476238682400435,2.294364821864292e-05,2.2381193412002175e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
22,qlearning,random,A,B,1,B,17,31,-14,29,15,14,0.00019712396897375584,0.00015566602814942598,1.3141597931583722e-05,1.1119002010673285e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
23,qlearning,random,A,B,1,B,13,35,-22,29,15,14,0.00023200002033263445,0.00013366807252168655,1.546666802217563e-05,9.547719465834753e-06,0,0,0,0,0,0,0.0,0.0,3,0.0
24,qlearning,random,A,B,0,A,27,21,6,21,11,10,0.00025450007524341345,0.00016600097296759486,2.313637047667395e-05,1.6600097296759486e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
25,qlearning,random,A,B,0,A,25,23,2,35,18,17,0.00031674897763878107,0.00027529196813702583,1.7597165424376726e-05,1.6193645184530932e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
26,qlearning,random,A,B,0,A,30,18,12,42,21,21,0.00037383701419457793,0.00034383608726784587,1.7801762580694186e-05,1.6373147012754564e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
27,qlearning,random,A,B,0,A,32,16,16,31,16,15,0.00030512604280374944,0.0002641680184751749,1.907037767523434e-05,1.761120123167833e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
28,qlearning,random,A,B,0,A,32,16,16,47,24,23,0.000526375079061836,0.00041474896715953946,2.1932294960909832e-05,1.8032563789545193e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
29,qlearning,random,A,B,1,B,20,28,-8,22,11,11,0.000179587077582255,9.770900942385197e-05,1.6326097962023184e-05,8.882637220350178e-06,0,0,0,0,0,0,0.0,0.0,3,0.0
30,qlearning,random,A,B,1,B,17,31,-14,50,25,25,0.0003034139226656407,0.00024329201551154256,1.2136556906625628e-05,9.731680620461702e-06,0,0,0,0,0,0,0.0,0.0,3,0.0
31,qlearning,random,A,B,0,A,32,16,16,38,19,19,0.00032458396162837744,0.0002643730549607426,1.708336640149355e-05,1.3914371313723295e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
32,qlearning,random,A,B,0,A,35,13,22,37,19,18,0.000350043032085523,0.0002251669648103416,1.842331747818542e-05,1.2509275822796755e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
33,qlearning,random,A,B,1,B,19,29,-10,38,19,19,0.0003014970861840993,0.0002619579900056124,1.5868267693899963e-05,1.3787262631874336e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
34,qlearning,random,A,B,0,A,28,20,8,34,17,17,0.0003004570316988975,0.00014770799316465855,1.7673943041111616e-05,8.688705480274033e-06,0,0,0,0,0,0,0.0,0.0,3,0.0
35,qlearning,random,A,B,-1,draw,24,24,0,34,17,17,0.00028779011336155236,0.0002761271025519818,1.6928830197738373e-05,1.6242770738351872e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
36,qlearning,random,A,B,0,A,37,11,26,39,20,19,0.0003813329676631838,0.000281625019852072,1.9066648383159192e-05,1.4822369465898527e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
37,qlearning,random,A,B,0,A,31,17,14,37,19,18,0.00023570703342556953,0.00017762705101631582,1.2405633338187871e-05,9.868169500906435e-06,0,0,0,0,0,0,0.0,0.0,3,0.0
38,qlearning,random,A,B,0,A,28,20,8,35,18,17,0.00028949810075573623,0.0003290380409453064,1.6083227819763124e-05,1.9355178879135673e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
39,qlearning,random,A,B,1,B,17,31,-14,20,10,10,0.00031366999610327184,0.00024070596555247903,3.136699961032718e-05,2.4070596555247904e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
40,qlearning,random,A,B,0,A,32,16,16,42,21,21,0.0007298360287677497,0.00032278907019644976,3.475409660798808e-05,1.5370908104592845e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
41,qlearning,random,A,B,0,A,32,16,16,34,17,17,0.0004600000102072954,0.0003464999608695507,2.7058824129840906e-05,2.0382350639385334e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
42,qlearning,random,A,B,0,A,37,11,26,17,9,8,0.0002836260828189552,0.00017650201334618032,3.151400920210613e-05,2.206275166827254e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
43,qlearning,random,A,B,0,A,39,9,30,53,27,26,0.0005607508646789938,0.00042908010073006153,2.0768550543666437e-05,1.650308079731006e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
44,qlearning,random,A,B,0,A,27,21,6,37,19,18,0.0005648370424751192,0.00034204203984700143,2.9728265393427328e-05,1.9002335547055634e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
45,qlearning,random,A,B,0,A,38,10,28,31,16,15,0.00037283406709320843,0.0002633340482134372,2.3302129193325527e-05,1.7555603214229147e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
46,qlearning,random,A,B,0,A,37,11,26,27,14,13,0.00026341903139837086,0.0002141689183190465,1.8815645099883633e-05,1.6474532178388192e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
47,qlearning,random,A,B,1,B,8,40,-32,25,13,12,0.00020637590205296874,0.00014887499855831265,1.5875069388689903e-05,1.2406249879859388e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
48,qlearning,random,A,B,1,B,22,26,-4,42,21,21,0.00036341801751405,0.00041525106644257903,1.730561988162143e-05,1.9773860306789477e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
49,qlearning,random,A,B,0,A,26,22,4,28,14,14,0.0003433740057516843,0.00021812401246279478,2.452671469654888e-05,1.5580286604485343e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
50,qlearning,random,B,A,1,A,10,38,28,32,16,16,0.00022616604110226035,0.00020154492813162506,1.4135377568891272e-05,1.2596558008226566e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
51,qlearning,random,B,A,1,A,13,35,22,27,14,13,0.00024149997625499964,0.0003099590539932251,1.7249998303928544e-05,2.3843004153325008e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
52,qlearning,random,B,A,0,B,35,13,-22,44,22,22,0.00046850094804540277,0.0004790840612258762,2.12954976384274e-05,2.1776548237539828e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
53,qlearning,random,B,A,0,B,37,11,-26,16,8,8,0.00012733403127640486,0.00012612499995157123,1.5916753909550607e-05,1.5765624993946403e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
54,qlearning,random,B,A,1,A,19,29,10,23,12,11,0.00023008199059404433,0.0002674589632079005,1.917349921617036e-05,2.4314451200718228e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
55,qlearning,random,B,A,1,A,16,32,16,46,23,23,0.0003348359896335751,0.0008616230916231871,1.4558086505807612e-05,3.746187354883422e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
56,qlearning,random,B,A,1,A,14,34,20,33,17,16,0.00024283293168991804,0.0003110409597866237,1.4284290099406944e-05,1.9440059986663982e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
57,qlearning,random,B,A,0,B,28,20,-8,28,14,14,0.00016120896907523274,0.00016745910397730768,1.1514926362516625e-05,1.1961364569807692e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
58,qlearning,random,B,A,0,B,33,15,-18,28,14,14,0.00020437297644093633,0.00018587507656775415,1.4598069745781167e-05,1.327679118341101e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
59,qlearning,random,B,A,1,A,11,37,26,26,13,13,0.0003163339861202985,0.0003591260174289346,2.4333383547715268e-05,2.7625078263764197e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
60,qlearning,random,B,A,1,A,19,29,10,29,15,14,0.0003916659625247121,0.00043308205204084516,2.611106416831414e-05,3.09344322886318e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
61,qlearning,random,B,A,0,B,30,18,-12,35,18,17,0.0004070830182172358,0.00036779200308956206,2.261572323429088e-05,2.163482371115071e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
62,qlearning,random,B,A,1,A,21,27,6,51,26,25,0.00033737500780262053,0.000478913018014282,1.2975961838562329e-05,1.915652072057128e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
63,qlearning,random,B,A,1,A,18,30,12,32,16,16,0.00024541508173570037,0.00021183304488658905,1.5338442608481273e-05,1.3239565305411816e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
64,qlearning,random,B,A,1,A,15,33,18,30,15,15,0.00022670897305943072,0.00023458292707800865,1.5113931537295381e-05,1.5638861805200575e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
65,qlearning,random,B,A,1,A,19,29,10,33,17,16,0.0002601650485303253,0.00034758608671836555,1.5303826384136782e-05,2.1724130419897847e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
66,qlearning,random,B,A,1,A,20,28,8,36,18,18,0.0003860000870190561,0.0003932070394512266,2.1444449278836448e-05,2.1844835525068145e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
67,qlearning,random,B,A,0,B,26,22,-4,30,15,15,0.0003657079942058772,0.00033512405934743583,2.4380532947058477e-05,2.234160395649572e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
68,qlearning,random,B,A,0,B,28,20,-8,21,11,10,0.00024329099687747657,0.0002701659977901727,2.2117363352497872e-05,2.701659977901727e-05,0,0,0,0,0,0,0.0,0.0,3,0.0
69,qlearning,random,B,A,0,B,25,23,-2,34,17,17,0.00018733195611275733,0.00015658201300539076,1.1019526830162195e-05,9.210706647375927e-06,0,0,0,0,0,0,0.0,0.0,3,0.0
