game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,random,minimax_h3,A,B,1,B,3,45,-42,18,9,9,0.0002282510104123503,0.0959677099599503,2.5361223379150033e-05,0.010663078884438923,0,9,0,385,0,55,0.0,3.0,3,0.0
1,random,minimax_h3,A,B,1,B,7,41,-34,14,7,7,0.00012054198305122554,0.051422541961073875,1.722028329303222e-05,0.007346077423010554,0,7,0,209,0,35,0.0,3.0,3,0.0
2,random,minimax_h3,A,B,1,B,21,27,-6,25,13,12,0.0001963319955393672,0.06153537702630274,1.5102461195335938e-05,0.005127948085525229,0,12,0,371,0,56,0.0,3.0,3,0.0
3,random,minimax_h3,A,B,1,B,10,38,-28,28,14,14,0.00019033305579796433,0.0947593720338773,1.3595218271283166e-05,0.006768526573848378,0,14,0,505,0,71,0.0,3.0,3,0.0
4,random,minimax_h3,A,B,1,B,15,33,-18,34,17,17,0.0003088730154559016,0.15315958394785412,1.8169000909170683e-05,0.009009387291050242,0,17,0,565,0,87,0.0,3.0,3,0.0
5,random,minimax_h3,A,B,1,B,4,44,-40,31,16,15,0.000236793071962893,0.08341979392571375,1.4799566997680813e-05,0.005561319595047584,0,15,0,438,0,71,0.0,3.0,3,0.0
6,random,minimax_h3,A,B,1,B,15,33,-18,22,11,11,0.00016341599985025823,0.06442145895562135,1.4855999986387111e-05,0.005856496268692849,0,11,0,324,0,48,0.0,3.0,3,0.0
7,random,minimax_h3,A,B,1,B,15,33,-18,41,21,20,0.0002862079709302634,0.12044791600783356,1.362895099667921e-05,0.006022395800391678,0,20,0,781,0,133,0.0,3.0,3,0.0
8,random,minimax_h3,A,B,1,B,8,40,-32,14,7,7,0.00012708301073871553,0.058179917046800256,1.8154715819816503e-05,0.008311416720971465,0,7,0,215,0,37,0.0,3.0,3,0.0
9,random,minimax_h3,A,B,1,B,9,39,-30,16,8,8,0.00017037405632436275,0.06152370903873816,2.1296757040545344e-05,0.00769046362984227,0,8,0,281,0,51,0.0,3.0,3,0.0
10,random,minimax_h3,A,B,1,B,8,40,-32,28,14,14,0.00017995989765040576,0.07632712501799688,1.2854278403600411e-05,0.005451937501285491,0,14,0,469,0,84,0.0,3.0,3,0.0
11,random,minimax_h3,A,B,1,B,12,36,-24,25,13,12,0.00017000094521790743,0.0843059160397388,1.307699578599288e-05,0.007025493003311567,0,12,0,368,0,53,0.0,3.0,3,0.0
12,random,minimax_h3,A,B,1,B,12,36,-24,18,9,9,0.00017162697622552514,0.09910479295649566,1.9069664025058348e-05,0.01101164366183285,0,9,0,333,0,43,0.0,3.0,3,0.0
13,random,minimax_h3,A,B,1,B,7,41,-34,16,8,8,0.0001334580301772803,0.06083050000597723,1.668225377216004e-05,0.0076038125007471535,0,8,0,250,0,34,0.0,3.0,3,0.0
14,random,minimax_h3,A,B,1,B,16,32,-16,16,8,8,0.00011749996338039637,0.03514662696397863,1.4687495422549546e-05,0.004393328370497329,0,8,0,215,0,38,0.0,3.0,3,0.0
15,random,minimax_h3,A,B,1,B,14,34,-20,34,17,17,0.00028970505809411407,0.1957501259748824,1.704147400553612e-05,0.01151471329264014,0,17,0,611,0,99,0.0,3.0,3,0.0
16,random,minimax_h3,A,B,1,B,19,29,-10,22,11,11,0.00014487197040580213,0.05313933303114027,1.3170179127800194e-05,0.004830848457376388,0,11,0,264,0,43,0.0,3.0,3,0.0
17,random,minimax_h3,A,B,1,B,4,44,-40,16,8,8,0.00016491601127199829,0.07785587295074947,2.0614501408999786e-05,0.009731984118843684,0,8,0,241,0,37,0.0,3.0,3,0.0
18,random,minimax_h3,A,B,1,B,20,28,-8,24,12,12,0.00014300202019512653,0.054629124031635,1.1916835016260544e-05,0.00455242700263625,0,12,0,335,0,58,0.0,3.0,3,0.0
19,random,minimax_h3,A,B,1,B,11,37,-26,25,13,12,0.0001416250306647271,0.05978766703628935,1.089423312805593e-05,0.0049823055863574455,0,12,0,262,0,40,0.0,3.0,3,0.0
20,random,minimax_h3,A,B,1,B,16,32,-16,28,14,14,0.0001898319460451603,0.06314866698812693,1.355942471751145e-05,0.004510619070580495,0,14,0,370,0,53,0.0,3.0,3,0.0
21,random,minimax_h3,A,B,1,B,2,46,-44,25,13,12,0.0002056660014204681,0.08394487699843012,1.5820461647728316e-05,0.006995406416535843,0,12,0,397,0,61,0.0,3.0,3,0.0
22,random,minimax_h3,A,B,1,B,8,40,-32,26,13,13,0.00022562299272976816,0.09644366794964299,1.735561482536678e-05,0.007418743688434076,0,13,0,478,0,74,0.0,3.0,3,0.0
23,random,minimax_h3,A,B,1,B,19,29,-10,17,9,8,0.0001200840633828193,0.04569983299006708,1.3342673709202143e-05,0.005712479123758385,0,8,0,241,0,35,0.0,3.0,3,0.0
24,random,minimax_h3,A,B,1,B,3,45,-42,20,10,10,0.00013866601511836052,0.07776916696457192,1.3866601511836052e-05,0.007776916696457192,0,10,0,369,0,51,0.0,3.0,3,0.0
25,random,minimax_h3,A,B,1,B,10,38,-28,35,18,17,0.00021237495820969343,0.10799083203892224,1.1798608789427413e-05,0.006352401884642485,0,17,0,550,0,79,0.0,3.0,3,0.0
26,random,minimax_h3,A,B,1,B,18,30,-12,22,11,11,0.00023358300677500665,0.06355583399999887,2.123481879772788e-05,0.0057778030909089876,0,11,0,329,0,52,0.0,3.0,3,0.0
27,random,minimax_h3,A,B,1,B,10,38,-28,12,6,6,0.00012462594895623624,0.06043283295002766,2.077099149270604e-05,0.01007213882500461,0,6,0,211,0,29,0.0,3.0,3,0.0
28,random,minimax_h3,A,B,1,B,15,33,-18,25,13,12,0.00018125094356946647,0.07062450097873807,1.3942380274574343e-05,0.005885375081561506,0,12,0,364,0,51,0.0,3.0,3,0.0
29,random,minimax_h3,A,B,1,B,7,41,-34,10,5,5,0.00011054100468754768,0.05381016599130817,2.2108200937509537e-05,0.010762033198261634,0,5,0,210,0,31,0.0,3.0,3,0.0
30,random,minimax_h3,A,B,1,B,11,37,-26,24,12,12,0.00017550098709762096,0.07386974900146015,1.462508225813508e-05,0.006155812416788346,0,12,0,387,0,61,0.0,3.0,3,0.0
31,random,minimax_h3,A,B,1,B,14,34,-20,30,15,15,0.0001685839961282909,0.050851167005021125,1.1238933075219392e-05,0.0033900778003347416,0,15,0,380,0,67,0.0,3.0,3,0.0
32,random,minimax_h3,A,B,1,B,14,34,-20,29,15,14,0.00016999902436509728,0.06970874898252077,1.1333268291006486e-05,0.004979196355894341,0,14,0,486,0,77,0.0,3.0,3,0.0
33,random,minimax_h3,A,B,1,B,17,31,-14,19,10,9,0.0001252919901162386,0.04139791807392612,1.252919901162386e-05,0.00459976867488068,0,9,0,259,0,43,0.0,3.0,3,0.0
34,random,minimax_h3,A,B,1,B,9,39,-30,38,19,19,0.00026149701443500817,0.11812666896730661,1.3763000759737273e-05,0.0062171931035424535,0,19,0,606,0,98,0.0,3.0,3,0.0
35,random,minimax_h3,A,B,1,B,9,39,-30,40,20,20,0.00022537403856404126,0.10994399906485341,1.1268701928202064e-05,0.005497199953242671,0,20,0,684,0,109,0.0,3.0,3,0.0
36,random,minimax_h3,A,B,1,B,6,42,-36,16,8,8,0.0001625419536139816,0.058955501968739554,2.03177442017477e-05,0.007369437746092444,0,8,0,229,0,40,0.0,3.0,3,0.0
37,random,minimax_h3,A,B,1,B,7,41,-34,26,13,13,0.00018862597062252462,0.0903224580688402,1.450969004788651e-05,0.0069478813899107855,0,13,0,427,0,67,0.0,3.0,3,0.0
