games,agent_a,agent_b,agent_a_wins,agent_b_wins,draws,agent_a_win_rate_all_games,agent_a_win_rate_decisive_games,agent_a_wilson_low_all_games,agent_a_wilson_high_all_games,avg_plies,avg_store_margin_for_a,agent_a_avg_time_s,agent_b_avg_time_s,agent_a_minimax_nodes,agent_b_minimax_nodes,csv,elapsed_s,minimax_depth_limit,minimax_time_limit_s,q_checkpoint
100,random,minimax_h1,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.48,-26.84,1.2942671070618885e-05,0.0024282316736896226,0,35543,random_vs_minimax_h1_n100.csv,3.1278674579807557,3,0.0,
100,random,minimax_h2,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.48,-26.04,1.29644538631542e-05,0.0029882321923636232,0,37861,random_vs_minimax_h2_n100.csv,3.8030628339911345,3,0.0,
100,random,minimax_h3,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.4,-27.32,1.3282606722348663e-05,0.006764238947546648,0,39796,random_vs_minimax_h3_n100.csv,8.446815916977357,3,0.0,
100,random,minimax_h4,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.73,-27.7,1.3347209448484758e-05,0.00894014074153409,0,41159,random_vs_minimax_h4_n100.csv,11.266075708001154,3,0.0,
100,qlearning,random,61,36,3,0.61,0.6288659793814433,0.5120301704584073,0.6998312599360558,33.96,4.5,1.9839632381922002e-05,1.6436632378192166e-05,0,0,qlearning_vs_random_n100.csv,45.00298124999972,3,0.0,artifacts/qlearning_50k_seed152.pkl
100,qlearning,minimax_h4,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,32.5,-28.0,1.6351919938725504e-05,0.008563601356199798,0,51950,qlearning_vs_minimax_h4_n100.csv,60.26374741701875,3,0.0,artifacts/qlearning_50k_seed152.pkl
60,minimax_h1,minimax_h2,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,25.5,2.0,0.0024261342162499202,0.002935285383584694,19770,21600,minimax_h1_vs_minimax_h2_n60.csv,4.173504999984289,3,0.0,
60,minimax_h1,minimax_h3,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,40.5,-3.0,0.0033261581571068523,0.009980760949789934,43860,51000,minimax_h1_vs_minimax_h3_n60.csv,16.20857783401152,3,0.0,
60,minimax_h1,minimax_h4,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,38.0,8.0,0.003070093501612479,0.013357820531344164,38610,50100,minimax_h1_vs_minimax_h4_n60.csv,18.843522999988636,3,0.0,
60,minimax_h2,minimax_h3,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,45.5,0.0,0.004323154913668143,0.010069481017287924,55380,57420,minimax_h2_vs_minimax_h3_n60.csv,19.718030332995113,3,0.0,
60,minimax_h2,minimax_h4,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,38.0,8.0,0.003587024400992066,0.012495498550190843,37170,44340,minimax_h2_vs_minimax_h4_n60.csv,18.45231816699379,3,0.0,
60,minimax_h3,minimax_h4,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,36.5,3.0,0.007275032846114805,0.010107528949880066,33480,38490,minimax_h3_vs_minimax_h4_n60.csv,19.173715082986746,3,0.0,
