game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.049378041934687644,0.18284820593544282,0.0025988443123519814,0.009623589786075937,19,19,584,690,105,108,3.0,3.0,3,
1,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.046773206937359646,0.19133329196483828,0.0024617477335452443,0.010070173261307278,19,19,584,690,105,108,3.0,3.0,3,
2,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.046941752021666616,0.1765789170167409,0.0024706185274561377,0.009293627211407415,19,19,584,690,105,108,3.0,3.0,3,
3,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.0549285410088487,0.19702200099709444,0.002890975842570984,0.010369578999847076,19,19,584,690,105,108,3.0,3.0,3,
4,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04741821103380062,0.17501062600058503,0.0024956953175684533,0.00921108557897816,19,19,584,690,105,108,3.0,3.0,3,
5,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04703366904868744,0.17677858303068206,0.002475456265720392,0.009304135948983267,19,19,584,690,105,108,3.0,3.0,3,
6,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.047064251033589244,0.17621216300176457,0.002477065843873118,0.009274324368513925,19,19,584,690,105,108,3.0,3.0,3,
7,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04641266301041469,0.17588733090087771,0.002442771737390247,0.009257227942151459,19,19,584,690,105,108,3.0,3.0,3,
8,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.05186812600004487,0.19261958601418883,0.002729901368423414,0.010137872948115202,19,19,584,690,105,108,3.0,3.0,3,
9,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04696479404810816,0.17587795606232248,0.002471831265689903,0.00925673452959592,19,19,584,690,105,108,3.0,3.0,3,
10,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04691270901821554,0.17731162707787007,0.0024690899483271337,0.009332190898835267,19,19,584,690,105,108,3.0,3.0,3,
11,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04659525095485151,0.1757100019895006,0.0024523816292027108,0.009247894841552662,19,19,584,690,105,108,3.0,3.0,3,
12,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.046913790894905105,0.17588550003711134,0.002469146889205532,0.009257131580900597,19,19,584,690,105,108,3.0,3.0,3,
13,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.046679456951096654,0.1759650819876697,0.002456813523741929,0.009261320104614194,19,19,584,690,105,108,3.0,3.0,3,
14,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.046963336935732514,0.17815770691959187,0.0024717545755648693,0.009376721416820624,19,19,584,690,105,108,3.0,3.0,3,
15,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.05481408105697483,0.19594712703838013,0.0028849516345776224,0.010313006686230534,19,19,584,690,105,108,3.0,3.0,3,
16,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04684429196640849,0.17527987400535494,0.002465489050863605,0.009225256526597628,19,19,584,690,105,108,3.0,3.0,3,
