game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002263728529214859,0.0864164590020664,1.4148303307592869e-05,0.005761097266804427,0,15,0,455,0,75,0.0,3.0,3,
1,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00023058397346176207,0.08607020703493617,1.441149834136013e-05,0.005738013802329078,0,15,0,455,0,75,0.0,3.0,3,
2,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00022570494911633432,0.08665837501757778,1.4106559319770895e-05,0.005777225001171852,0,15,0,455,0,75,0.0,3.0,3,
3,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00023737605079077184,0.08572858406114392,1.483600317442324e-05,0.0057152389374095945,0,15,0,455,0,75,0.0,3.0,3,
4,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0003633749147411436,0.08623237602296285,2.2710932171321474e-05,0.005748825068197524,0,15,0,455,0,75,0.0,3.0,3,
5,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00034245700226165354,0.10618833298212849,2.1403562641353346e-05,0.0070792221988085656,0,15,0,455,0,75,0.0,3.0,3,
6,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00023145601153373718,0.08646441798191518,1.4466000720858574e-05,0.005764294532127678,0,15,0,455,0,75,0.0,3.0,3,
7,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002379980287514627,0.08535650002886541,1.4874876796966419e-05,0.005690433335257694,0,15,0,455,0,75,0.0,3.0,3,
8,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0003049170190934092,0.08630795497447252,1.9057313693338074e-05,0.005753863664964835,0,15,0,455,0,75,0.0,3.0,3,
9,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00028404194745235145,0.08709083593566902,1.7752621715771966e-05,0.005806055729044602,0,15,0,455,0,75,0.0,3.0,3,
10,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00025399887817911804,0.08705666696187109,1.5874929886194877e-05,0.005803777797458072,0,15,0,455,0,75,0.0,3.0,3,
11,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.00030250204144977033,0.08577016502385959,1.8906377590610646e-05,0.005718011001590639,0,15,0,455,0,75,0.0,3.0,3,
12,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002641240134835243,0.08682300202781335,1.650775084272027e-05,0.005788200135187557,0,15,0,455,0,75,0.0,3.0,3,
13,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0002763350203167647,0.08713375011575408,1.7270938769797795e-05,0.005808916674383605,0,15,0,455,0,75,0.0,3.0,3,
14,qlearning,minimax_h4,A,B,1,B,9,39,-30,31,16,15,0.0004394180723465979,0.08676445708260871,2.746362952166237e-05,0.005784297138840581,0,15,0,455,0,75,0.0,3.0,3,
