game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,qlearning,random,A,B,0,A,29,19,10,37,19,18,0.0004389580572023988,0.00034791603684425354,2.3103055642231513e-05,1.932866871356964e-05,0,0,0,0,0,0,0.0,0.0,3,
1,qlearning,random,A,B,1,B,22,26,-4,36,18,18,0.0003610409621614963,0.0002566279727034271,2.005783123119424e-05,1.4257109594634838e-05,0,0,0,0,0,0,0.0,0.0,3,
2,qlearning,random,A,B,0,A,36,12,24,49,25,24,0.00043083293712697923,0.0004006259550806135,1.723331748507917e-05,1.6692748128358897e-05,0,0,0,0,0,0,0.0,0.0,3,
3,qlearning,random,A,B,0,A,36,12,24,41,21,20,0.0003419179702177644,0.0002133329981006682,1.6281808105607826e-05,1.066664990503341e-05,0,0,0,0,0,0,0.0,0.0,3,
4,qlearning,random,A,B,0,A,28,20,8,43,22,21,0.0006429120257962495,0.0003473309916444123,2.9223273899829522e-05,1.65395710306863e-05,0,0,0,0,0,0,0.0,0.0,3,
5,qlearning,random,A,B,0,A,26,22,4,29,15,14,0.0003484590270090848,0.0002673760463949293,2.3230601800605655e-05,1.9098289028209236e-05,0,0,0,0,0,0,0.0,0.0,3,
6,qlearning,random,A,B,1,B,22,26,-4,33,17,16,0.0005152489175088704,0.0002725800150074065,3.0308759853462962e-05,1.7036250937962905e-05,0,0,0,0,0,0,0.0,0.0,3,
7,qlearning,random,A,B,1,B,22,26,-4,33,17,16,0.00036154588451609015,0.0002689180546440184,2.1267404971534715e-05,1.680737841525115e-05,0,0,0,0,0,0,0.0,0.0,3,
8,qlearning,random,A,B,0,A,29,19,10,36,18,18,0.00036587900831364095,0.0002966230676975101,2.032661157298005e-05,1.647905931652834e-05,0,0,0,0,0,0,0.0,0.0,3,
9,qlearning,random,A,B,0,A,26,22,4,45,23,22,0.0004235860251355916,0.0002575839462224394,1.8416783701547462e-05,1.1708361191929065e-05,0,0,0,0,0,0,0.0,0.0,3,
10,qlearning,random,A,B,0,A,45,3,42,15,8,7,0.00036641795304603875,0.00018412302597425878,4.580224413075484e-05,2.630328942489411e-05,0,0,0,0,0,0,0.0,0.0,3,
11,qlearning,random,A,B,1,B,20,28,-8,18,9,9,0.00014441696112044156,0.00011683508637361228,1.6046329013382394e-05,1.2981676263734698e-05,0,0,0,0,0,0,0.0,0.0,3,
12,qlearning,random,A,B,1,B,23,25,-2,41,21,20,0.0008061639091465622,0.00028154204483143985,3.838875757840773e-05,1.4077102241571992e-05,0,0,0,0,0,0,0.0,0.0,3,
13,qlearning,random,A,B,1,B,21,27,-6,35,18,17,0.0003742090193554759,0.00035887694684788585,2.0789389964193106e-05,2.111040863811093e-05,0,0,0,0,0,0,0.0,0.0,3,
14,qlearning,random,A,B,1,B,23,25,-2,45,23,22,0.0003775831137318164,0.0003070819948334247,1.6416657118774626e-05,1.3958272492428394e-05,0,0,0,0,0,0,0.0,0.0,3,
15,qlearning,random,A,B,1,B,14,34,-20,27,14,13,0.00020287599181756377,0.00015054098912514746,1.4491142272683127e-05,1.1580076086549805e-05,0,0,0,0,0,0,0.0,0.0,3,
16,qlearning,random,A,B,0,A,30,18,12,39,20,19,0.00042346009286120534,0.00041825202060863376,2.1173004643060268e-05,2.201326424255967e-05,0,0,0,0,0,0,0.0,0.0,3,
17,qlearning,random,A,B,0,A,33,15,18,27,14,13,0.00033408403396606445,0.00020504105486907065,2.3863145283290317e-05,1.577238883608236e-05,0,0,0,0,0,0,0.0,0.0,3,
18,qlearning,random,A,B,0,A,27,21,6,51,26,25,0.0005287920066621155,0.0004956659686286002,2.0338154102389057e-05,1.982663874514401e-05,0,0,0,0,0,0,0.0,0.0,3,
19,qlearning,random,A,B,1,B,23,25,-2,35,18,17,0.0004296240513212979,0.00034641599631868303,2.3868002851183217e-05,2.0377411548157825e-05,0,0,0,0,0,0,0.0,0.0,3,
20,qlearning,random,A,B,0,A,25,23,2,27,14,13,0.00017633393872529268,0.00012649997370317578,1.2595281337520906e-05,9.730767207936598e-06,0,0,0,0,0,0,0.0,0.0,3,
21,qlearning,random,A,B,0,A,28,20,8,40,20,20,0.0004237509274389595,0.0003310430038254708,2.1187546371947975e-05,1.655215019127354e-05,0,0,0,0,0,0,0.0,0.0,3,
22,qlearning,random,A,B,1,B,17,31,-14,29,15,14,0.0001862499921116978,0.00014916996587999165,1.2416666140779854e-05,1.0654997562856547e-05,0,0,0,0,0,0,0.0,0.0,3,
23,qlearning,random,A,B,1,B,13,35,-22,29,15,14,0.00022008002270013094,0.0001368789526168257,1.4672001513342063e-05,9.777068044058979e-06,0,0,0,0,0,0,0.0,0.0,3,
24,qlearning,random,A,B,0,A,27,21,6,21,11,10,0.0002417090581730008,0.0001634160289540887,2.1973550743000075e-05,1.6341602895408867e-05,0,0,0,0,0,0,0.0,0.0,3,
25,qlearning,random,A,B,0,A,25,23,2,35,18,17,0.0002797490160446614,0.0002629150403663516,1.554161200248119e-05,1.5465590609785388e-05,0,0,0,0,0,0,0.0,0.0,3,
26,qlearning,random,A,B,0,A,30,18,12,42,21,21,0.0003627888218034059,0.00035612695501185954,1.7275658181114567e-05,1.695842642913617e-05,0,0,0,0,0,0,0.0,0.0,3,
27,qlearning,random,A,B,0,A,32,16,16,31,16,15,0.0003201690560672432,0.00027995900018140674,2.00105660042027e-05,1.8663933345427117e-05,0,0,0,0,0,0,0.0,0.0,3,
28,qlearning,random,A,B,0,A,32,16,16,47,24,23,0.0004757490532938391,0.0003815419040620327,1.982287722057663e-05,1.6588778437479682e-05,0,0,0,0,0,0,0.0,0.0,3,
29,qlearning,random,A,B,1,B,20,28,-8,22,11,11,0.00017904193373396993,9.987395606003702e-05,1.6276539430360902e-05,9.079450550912457e-06,0,0,0,0,0,0,0.0,0.0,3,
30,qlearning,random,A,B,1,B,17,31,-14,50,25,25,0.0002987109764944762,0.00024429100449196994,1.1948439059779048e-05,9.771640179678798e-06,0,0,0,0,0,0,0.0,0.0,3,
31,qlearning,random,A,B,0,A,32,16,16,38,19,19,0.0003338760288897902,0.00038471005973406136,1.757242257314685e-05,2.0247897880740073e-05,0,0,0,0,0,0,0.0,0.0,3,
32,qlearning,random,A,B,0,A,35,13,22,37,19,18,0.00046429195208474994,0.00022974898456595838,2.443641853077631e-05,1.2763832475886577e-05,0,0,0,0,0,0,0.0,0.0,3,
