game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,random,minimax_h4,A,B,1,B,3,45,-42,18,9,9,0.0002141250588465482,0.11626558305579238,2.379167320517202e-05,0.012918398117310263,0,9,0,369,0,52,0.0,3.0,3,
1,random,minimax_h4,A,B,1,B,9,39,-30,24,12,12,0.00015449992497451603,0.07970833207946271,1.2874993747876337e-05,0.0066423610066218925,0,12,0,315,0,47,0.0,3.0,3,
2,random,minimax_h4,A,B,1,B,16,32,-16,26,13,13,0.0001796239521354437,0.07590874886955135,1.3817227087341822e-05,0.005839134528427026,0,13,0,347,0,58,0.0,3.0,3,
3,random,minimax_h4,A,B,1,B,10,38,-28,28,14,14,0.00019729306222870946,0.1283116269914899,1.4092361587764962e-05,0.00916511621367785,0,14,0,538,0,78,0.0,3.0,3,
4,random,minimax_h4,A,B,1,B,18,30,-12,27,14,13,0.0003063729964196682,0.2742455389816314,2.1883785458547728e-05,0.021095810690894723,0,13,0,634,0,95,0.0,3.0,3,
5,random,minimax_h4,A,B,1,B,4,44,-40,31,16,15,0.00017774902516976,0.10816212609643117,1.110931407311e-05,0.007210808406428745,0,15,0,430,0,69,0.0,3.0,3,
6,random,minimax_h4,A,B,1,B,15,33,-18,22,11,11,0.0001543739635962993,0.09143595898058265,1.4033996690572662e-05,0.008312359907325696,0,11,0,326,0,46,0.0,3.0,3,
7,random,minimax_h4,A,B,1,B,10,38,-28,16,8,8,0.00014987503527663648,0.07240833301329985,1.873437940957956e-05,0.009051041626662482,0,8,0,287,0,47,0.0,3.0,3,
8,random,minimax_h4,A,B,1,B,7,41,-34,16,8,8,0.0001519579964224249,0.1139422100095544,1.8994749552803114e-05,0.0142427762511943,0,8,0,347,0,50,0.0,3.0,3,
9,random,minimax_h4,A,B,1,B,13,35,-22,16,8,8,0.00016779100405983627,0.07070141704753041,2.0973875507479534e-05,0.008837677130941302,0,8,0,277,0,45,0.0,3.0,3,
10,random,minimax_h4,A,B,1,B,9,39,-30,27,14,13,0.00019504199735820293,0.09217350199469365,1.3931571239871638e-05,0.007090269384207204,0,13,0,430,0,78,0.0,3.0,3,
11,random,minimax_h4,A,B,1,B,15,33,-18,28,14,14,0.00020237406715750694,0.11858358202152885,1.4455290511250496e-05,0.008470255858680633,0,14,0,527,0,76,0.0,3.0,3,
12,random,minimax_h4,A,B,1,B,9,39,-30,24,12,12,0.0001799569872673601,0.1633515409193933,1.4996415605613341e-05,0.013612628409949442,0,12,0,481,0,63,0.0,3.0,3,
13,random,minimax_h4,A,B,1,B,7,41,-34,16,8,8,0.00013845801004208624,0.07524245794047602,1.730725125526078e-05,0.009405307242559502,0,8,0,240,0,33,0.0,3.0,3,
14,random,minimax_h4,A,B,1,B,16,32,-16,16,8,8,0.00014895800268277526,0.049724041047738865,1.8619750335346907e-05,0.006215505130967358,0,8,0,222,0,37,0.0,3.0,3,
15,random,minimax_h4,A,B,1,B,14,34,-20,34,17,17,0.0002576239930931479,0.19915079203201458,1.515435253489105e-05,0.011714752472471446,0,17,0,631,0,92,0.0,3.0,3,
16,random,minimax_h4,A,B,1,B,19,29,-10,22,11,11,0.00015258396160788834,0.06866420901496895,1.3871269237080758e-05,0.0062422008195426315,0,11,0,262,0,44,0.0,3.0,3,
17,random,minimax_h4,A,B,1,B,4,44,-40,16,8,8,0.0001583749835845083,0.10922787396702915,1.9796872948063537e-05,0.013653484245878644,0,8,0,249,0,35,0.0,3.0,3,
18,random,minimax_h4,A,B,1,B,20,28,-8,38,19,19,0.00018654207815416157,0.07544670795323327,9.818004113376924e-06,0.0039708793659596455,0,19,0,436,0,69,0.0,3.0,3,
19,random,minimax_h4,A,B,1,B,5,43,-38,20,10,10,0.000149165018228814,0.09700966899981722,1.49165018228814e-05,0.009700966899981723,0,10,0,374,0,52,0.0,3.0,3,
20,random,minimax_h4,A,B,1,B,20,28,-8,19,10,9,0.00017091701738536358,0.07050245799473487,1.709170173853636e-05,0.00783360644385943,0,9,0,262,0,39,0.0,3.0,3,
21,random,minimax_h4,A,B,1,B,7,41,-34,18,9,9,0.00015424899174831808,0.12026887395768426,1.713877686092423e-05,0.013363208217520474,0,9,0,360,0,58,0.0,3.0,3,
22,random,minimax_h4,A,B,1,B,0,48,-48,28,14,14,0.00024891505017876625,0.12256212599459104,1.7779646441340446e-05,0.008754437571042217,0,14,0,455,0,69,0.0,3.0,3,
23,random,minimax_h4,A,B,1,B,22,26,-4,24,12,12,0.0001857080205809325,0.09848224901361391,1.5475668381744374e-05,0.008206854084467826,0,12,0,456,0,71,0.0,3.0,3,
