game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,random,random,A,B,-1,draw,24,24,0,34,17,17,0.00036470804479904473,0.0006326660804916173,2.1453414399943806e-05,3.721565179362455e-05,0,0,0,0,0,0,0.0,0.0,3,
1,random,random,A,B,1,B,12,36,-24,43,22,21,0.0002597100683487952,0.00028942208155058324,1.1805003106763417e-05,1.3782003883361107e-05,0,0,0,0,0,0,0.0,0.0,3,
2,random,random,A,B,0,A,26,22,4,36,18,18,0.00031699705868959427,0.00023691894602961838,1.7610947704977458e-05,1.3162163668312132e-05,0,0,0,0,0,0,0.0,0.0,3,
3,random,random,A,B,0,A,37,11,26,21,11,10,0.00018803996499627829,0.00018832998466677964,1.7094542272388935e-05,1.8832998466677964e-05,0,0,0,0,0,0,0.0,0.0,3,
4,random,random,A,B,0,A,28,20,8,30,15,15,0.00022008203086443245,0.00021370998001657426,1.4672135390962164e-05,1.424733200110495e-05,0,0,0,0,0,0,0.0,0.0,3,
5,random,random,A,B,1,B,22,26,-4,48,24,24,0.00041558092925697565,0.0006817910470999777,1.7315872052373987e-05,2.8407960295832407e-05,0,0,0,0,0,0,0.0,0.0,3,
6,random,random,A,B,0,A,26,22,4,30,15,15,0.00018958700820803642,0.00017033392214216292,1.2639133880535761e-05,1.1355594809477528e-05,0,0,0,0,0,0,0.0,0.0,3,
7,random,random,A,B,0,A,30,18,12,43,22,21,0.0002923759166151285,0.0002868750598281622,1.3289814391596751e-05,1.366071713467439e-05,0,0,0,0,0,0,0.0,0.0,3,
8,random,random,A,B,1,B,19,29,-10,26,13,13,0.00013471001875586808,0.00020195695105940104,1.0362309135066775e-05,1.5535150081492386e-05,0,0,0,0,0,0,0.0,0.0,3,
9,random,random,A,B,0,A,25,23,2,37,19,18,0.00024354099878109992,0.00019241697737015784,1.2817947304268417e-05,1.068983207611988e-05,0,0,0,0,0,0,0.0,0.0,3,
10,random,random,A,B,1,B,19,29,-10,31,16,15,0.0001461669453419745,0.00018308503786101937,9.135434083873406e-06,1.2205669190734624e-05,0,0,0,0,0,0,0.0,0.0,3,
11,random,random,A,B,-1,draw,24,24,0,41,21,20,0.00024079097784124315,0.0002495380467735231,1.1466237040059197e-05,1.2476902338676154e-05,0,0,0,0,0,0,0.0,0.0,3,
12,random,random,A,B,0,A,37,11,26,42,21,21,0.00020158302504569292,0.00023579009575769305,9.59919166884252e-06,1.1228099797985383e-05,0,0,0,0,0,0,0.0,0.0,3,
13,random,random,A,B,0,A,40,8,32,48,24,24,0.00046583209768868983,0.0004163730191066861,1.9409670737028744e-05,1.7348875796111923e-05,0,0,0,0,0,0,0.0,0.0,3,
14,random,random,A,B,0,A,29,19,10,38,19,19,0.00038325198693200946,0.00023020795197226107,2.0171157206947866e-05,1.2116207998540057e-05,0,0,0,0,0,0,0.0,0.0,3,
15,random,random,A,B,1,B,13,35,-22,50,25,25,0.00023300008615478873,0.00030041803256608546,9.32000344619155e-06,1.2016721302643419e-05,0,0,0,0,0,0,0.0,0.0,3,
16,random,random,A,B,0,A,25,23,2,40,20,20,0.0003440429281909019,0.00021762587130069733,1.7202146409545094e-05,1.0881293565034867e-05,0,0,0,0,0,0,0.0,0.0,3,
